DATE,ICSA,CCNSA
1/7/1967,208000,1594000
1/14/1967,207000,1563000
1/21/1967,217000,1551000
1/28/1967,204000,1533000
2/4/1967,216000,1534000
2/11/1967,229000,1557000
2/18/1967,229000,1579000
2/25/1967,242000,1625000
3/4/1967,310000,1621000
3/11/1967,241000,1577000
3/18/1967,245000,1525000
3/25/1967,247000,1505000
4/1/1967,259000,1470000
4/8/1967,257000,1410000
4/15/1967,299000,1386000
4/22/1967,245000,1342000
4/29/1967,255000,1302000
5/6/1967,254000,1242000
5/13/1967,231000,1169000
5/20/1967,230000,1129000
5/27/1967,228000,1062000
6/3/1967,248000,1085000
6/10/1967,238000,1038000
6/17/1967,224000,1023000
6/24/1967,218000,1008000
7/1/1967,209000,980000
7/8/1967,240000,1139000
7/15/1967,241000,1212000
7/22/1967,240000,1184000
7/29/1967,209000,1205000
8/5/1967,221000,1174000
8/12/1967,202000,1132000
8/19/1967,215000,1064000
8/26/1967,213000,994000
9/2/1967,218000,931000
9/9/1967,231000,938000
9/16/1967,220000,891000
9/23/1967,209000,878000
9/30/1967,204000,860000
10/7/1967,231000,859000
10/14/1967,206000,901000
10/21/1967,223000,891000
10/28/1967,207000,893000
11/4/1967,222000,920000
11/11/1967,214000,951000
11/18/1967,198000,952000
11/25/1967,191000,1062000
12/2/1967,196000,1089000
12/9/1967,221000,1127000
12/16/1967,204000,1201000
12/23/1967,219000,1260000
12/30/1967,216000,1484000
1/6/1968,222000,1618000
1/13/1968,222000,1647000
1/20/1968,221000,1649000
1/27/1968,198000,1602000
2/3/1968,244000,1591000
2/10/1968,210000,1572000
2/17/1968,196000,1541000
2/24/1968,193000,1575000
3/2/1968,190000,1513000
3/9/1968,204000,1469000
3/16/1968,190000,1421000
3/23/1968,200000,1358000
3/30/1968,192000,1288000
4/6/1968,191000,1202000
4/13/1968,171000,1174000
4/20/1968,183000,1123000
4/27/1968,251000,1112000
5/4/1968,209000,1040000
5/11/1968,194000,1006000
5/18/1968,199000,966000
5/25/1968,194000,923000
6/1/1968,199000,916000
6/8/1968,192000,921000
6/15/1968,194000,883000
6/22/1968,189000,872000
6/29/1968,194000,858000
7/6/1968,214000,982000
7/13/1968,186000,1022000
7/20/1968,180000,975000
7/27/1968,205000,975000
