DATE,TLAACBW027SBOG,TLBACBW027SBOG,TOTBKCR,TOTLL
1/3/1973,706.8656,642.0637,567.2553,405.2513
1/10/1973,700.9787,625.0606,565.5054,403.8754
1/17/1973,699.5624,626.0548,565.3477,404.0137
1/24/1973,700.8852,619.5328,565.1737,404.4657
1/31/1973,705.9002,626.777,569.7089,408.2189
2/7/1973,703.4736,619.9072,571.2254,411.2574
2/14/1973,709.2743,628.0149,573.5717,414.4707
2/21/1973,711.7601,633.8588,574.7042,417.0752
2/28/1973,718.5449,636.8583,577.518,419.675
3/7/1973,717.5137,633.0979,581.5757,423.6177
3/14/1973,719.1385,635.4682,582.7181,424.7211
3/21/1973,718.9917,633.66,584.2137,426.0967
3/28/1973,723.1221,635.1806,586.1701,427.9261
4/4/1973,721.9902,643.6524,587.5392,429.2632
4/11/1973,724.4292,642.2966,589.1442,430.5142
4/18/1973,727.7499,646.4325,589.1377,430.9877
4/25/1973,733.6156,644.018,591.1341,432.7591
5/2/1973,733.0308,653.0147,593.4399,435.2229
5/9/1973,732.746,643.6195,594.5321,436.6181
5/16/1973,738.9639,653.5592,594.4818,438.1578
5/23/1973,739.1176,645.7872,595.4865,439.3085
5/30/1973,738.629,654.2223,598.963,441.496
6/6/1973,744.5508,654.1178,601.5,443.504
6/13/1973,744.9239,656.266,602.8771,444.9381
6/20/1973,749.6283,660.9614,603.5501,446.1901
6/27/1973,749.2886,657.987,605.4626,447.9146
7/4/1973,756.5501,675.9631,606.8473,449.2843
7/11/1973,753.8168,664.2714,609.9411,452.3771
7/18/1973,754.8564,665.2951,608.9051,451.8181
7/25/1973,760.6747,663.0151,610.7133,453.1993
8/1/1973,764.6927,675.4853,613.3477,456.3787
8/8/1973,762.2101,665.8405,614.9775,457.9295
8/15/1973,769.6575,675.1417,618.6221,460.1471
8/22/1973,764.27,664.3968,615.5519,458.0849
8/29/1973,761.9845,663.3499,616.2351,458.6401
9/5/1973,767.7636,678.5275,620.4894,461.1564
9/12/1973,773.8323,677.5989,621.1427,461.2267
9/19/1973,768.4948,674.4832,620.4723,461.6463
9/26/1973,773.0562,673.7707,622.0711,462.8681
